,,0
paddy,0,0.07555555555555556
paddy,1,0.13535353535353536
paddy,2,0.11656565656565657
paddy,3,0.12424242424242424
paddy,4,0.08949494949494949
paddy,5,0.09921196201252779
paddy,6,0.1593939393939394
paddy,7,0.1290909090909091
paddy,8,0.11171717171717171
paddy,9,0.1
paddy,10,0.18626262626262627
paddy,11,0.13393939393939394
paddy,12,0.1195959595959596
paddy,13,0.12424242424242424
paddy,14,0.09636363636363636
paddy,15,0.11797979797979798
paddy,16,0.10929292929292929
paddy,17,0.13757575757575757
paddy,18,0.12085691188358932
paddy,19,0.12505050505050505
paddy,20,0.16444444444444445
paddy,21,0.12808080808080807
paddy,22,0.09737373737373738
paddy,23,0.13333333333333333
paddy,24,0.08747474747474747
paddy,25,0.10909090909090909
paddy,26,0.11373737373737373
paddy,27,0.1402020202020202
paddy,28,0.1103030303030303
paddy,29,0.11070707070707071
paddy,30,0.11515151515151516
paddy,31,0.08787878787878788
paddy,32,0.11151515151515151
paddy,33,0.12424242424242424
paddy,34,0.11515151515151516
paddy,35,0.1301010101010101
paddy,36,0.10262626262626262
paddy,37,0.09702850212249849
paddy,38,0.15962820771873107
paddy,39,0.12545454545454546
paddy,40,0.1808080808080808
paddy,41,0.15838383838383838
paddy,42,0.15333333333333332
paddy,43,0.08282828282828283
paddy,44,0.09717171717171717
paddy,45,0.11454545454545455
paddy,46,0.12686868686868688
paddy,47,0.1193939393939394
paddy,48,0.141010101010101
paddy,49,0.16545454545454547
paddy,50,0.11737373737373738
paddy,51,0.0698989898989899
paddy,52,0.09494949494949495
paddy,53,0.11313131313131314
paddy,54,0.13070707070707072
paddy,55,0.10707070707070707
paddy,56,0.15151515151515152
paddy,57,0.1006060606060606
paddy,58,0.11555555555555555
paddy,59,0.09818181818181818
paddy,60,0.11858585858585859
paddy,61,0.11090909090909092
paddy,62,0.15171717171717172
paddy,63,0.1486868686868687
paddy,64,0.13292929292929292
paddy,65,0.12484848484848485
paddy,66,0.11477066073954334
paddy,67,0.12181818181818181
paddy,68,0.11353535353535353
paddy,69,0.10585858585858586
paddy,70,0.09737373737373738
paddy,71,0.1604040404040404
paddy,72,0.09395837542937967
paddy,73,0.13131313131313133
paddy,74,0.07515151515151515
paddy,75,0.09393939393939393
paddy,76,0.10747474747474747
paddy,77,0.11454545454545455
paddy,78,0.09797979797979799
paddy,79,0.10666666666666667
paddy,80,0.11737373737373738
paddy,81,0.10868686868686869
paddy,82,0.15474747474747474
paddy,83,0.12444444444444444
paddy,84,0.08
paddy,85,0.09393939393939393
paddy,86,0.11757575757575757
paddy,87,0.10767676767676768
paddy,88,0.13090909090909092
paddy,89,0.14181818181818182
paddy,90,0.1193939393939394
paddy,91,0.11315417256011315
paddy,92,0.12626262626262627
paddy,93,0.13434343434343435
paddy,94,0.10747474747474747
paddy,95,0.08181818181818182
paddy,96,0.12868686868686868
paddy,97,0.08949494949494949
paddy,98,0.09757575757575758
paddy,99,0.09961608405738533
peatland,0,0.14043241058799757
peatland,1,0.2288888888888889
peatland,2,0.2535865831481107
peatland,3,0.22767676767676767
peatland,4,0.1647130153597413
peatland,5,0.22235698403072568
peatland,6,0.14972721761972116
peatland,7,0.20545454545454545
peatland,8,0.2880808080808081
peatland,9,0.17525773195876287
peatland,10,0.27595959595959596
peatland,11,0.16043645180844615
peatland,12,0.20432497978981407
peatland,13,0.23075368761365933
peatland,14,0.2585858585858586
peatland,15,0.24287734895938573
peatland,16,0.20727272727272728
peatland,17,0.23959595959595958
