sample_name,env_type,env_00,env_01,env_02,nif_type,mapped_16106_16s_type,y,x,convertedthetao_mean_Layer,re_type
SRR3933498.SRS1572408,parallel,aquatic;sea,aquatic,sea,44,613,43.858,-60.157,8.71757915737759,0.0717781402936378
SRR1819747.SRS857034,parallel,aquatic;sea,aquatic,sea,2,37,21.43,-157.79,25.1475308893326,0.0540540540540541
SRR7033551.SRS2777173,parallel,aquatic;marine,aquatic,sea,3,36,-22.499,-170,25.1970592244021,0.0833333333333333
SRR4435169.SRS1754052,parallel,aquatic;marine,aquatic,sea,2,13,22.45,-158,24.9840724329664,0.153846153846154
SRR13172708.SRS7813886,parallel,aquatic;marine,aquatic,sea,3,36,34.044,-119.542,15.480497567669,0.0833333333333333
SRR8557223.SRS4349602,parallel,aquatic;sea,aquatic,sea,1,18,24.552,-81.381,26.8351649536038,0.0555555555555556
SRR11796647.SRS6664916,overlap,aquatic;marine,aquatic,sea,9,78,54.46,10.28,10.5726121916314,0.115384615384615
SRR8583634.SRS4198397,parallel,aquatic;marine,aquatic,sea,0,46,42,-70,11.1425161573407,0
SRR7253250.SRS3370471,overlap,aquatic;ocean,aquatic,sea,0,11,-25.32,70.039,23.5193967262447,0
SRR7479496.SRS3508669,parallel,aquatic;ocean,aquatic,sea,3,86,13,68,28.380259772112,0.0348837209302326
SRR5924660.SRS2422996,parallel,aquatic;marine,aquatic,sea,1,67,-32,115.417,20.61662236222,0.0149253731343284
ERR3518804.ERS1308383,parallel,aquatic;ocean,aquatic,sea,2,43,67.141,0.236,7.67643627819853,0.0465116279069768
SRR5178608.SRS1922009,overlap,aquatic;marine,aquatic,sea,9,111,42.25,-70.54,10.8754882697101,0.0810810810810811
SRR8167315.SRS4024581,parallel,aquatic;sea,aquatic,sea,2,84,44.4,-63.45,7.67090556124483,0.0238095238095238
SRR9187961.SRS4869556,parallel,aquatic;marine,aquatic,sea,0,32,-10,4,24.3882283325763,0
SRR5180997.SRS1921937,overlap,aquatic;marine,aquatic,sea,8,113,42.25,-70.54,10.8754882697101,0.0707964601769912
SRR5924876.SRS2423039,parallel,aquatic;marine,aquatic,sea,1,44,-35.841,136.453,17.034785441874,0.0227272727272727
SRR7244256.SRS3362730,overlap,aquatic;marine,aquatic,sea,1,36,37.25,-76.5,16.9010738638771,0.0277777777777778
