,env,sample,deterministic processes,stochastic processes
1799,ice,99,0.0374266639692494,96.25733360307505
1726,ice,26,0.04717554160761281,95.28244583923872
1727,ice,27,0.04795629299878589,95.20437070012142
1728,ice,28,0.0392394822006472,96.07605177993528
1729,ice,29,0.0342174529256934,96.57825470743066
1730,ice,30,0.0350273334683134,96.49726665316867
1731,ice,31,0.0398785425101214,96.01214574898786
1732,ice,32,0.034636418877861,96.5363581122139
1733,ice,33,0.0455465587044534,95.44534412955466
1734,ice,34,0.0323755564548765,96.76244435451235
1735,ice,35,0.0390688259109311,96.09311740890689
1736,ice,36,0.0443230115361262,95.56769884638737
1737,ice,37,0.0402834008097165,95.97165991902835
1738,ice,38,0.0372545049605183,96.27454950394817
1739,ice,39,0.0374645605508303,96.25354394491697
1740,ice,40,0.0412788344799676,95.87211655200323
1741,ice,41,0.0317878112978335,96.82121887021665
1742,ice,42,0.0388663967611336,96.11336032388664
1743,ice,43,0.0358154593282072,96.41845406717928
1744,ice,44,0.0410931174089068,95.89068825910933
1745,ice,45,0.0469635627530364,95.30364372469636
1746,ice,46,0.046742209631728,95.3257790368272
1725,ice,25,0.0311804008908685,96.88195991091315
1723,ice,23,0.0396921830700688,96.03078169299312
1722,ice,22,0.037636584378794,96.2363415621206
1721,ice,21,0.037434237150951,96.2565762849049
1798,ice,98,0.045721221930002,95.4278778069998
1700,ice,0,0.0388506677458518,96.11493322541482
1701,ice,1,0.0334075723830735,96.65924276169265
1702,ice,2,0.0384693257744482,96.15306742255518
1703,ice,3,0.0382358891361521,96.17641108638479
1704,ice,4,0.0422649140546006,95.77350859453993
1705,ice,5,0.0418858761634965,95.81141238365035
1706,ice,6,0.0344059906901437,96.55940093098563
1707,ice,7,0.0319902814334885,96.80097185665115
1708,ice,8,0.0386796273795058,96.13203726204942
1747,ice,47,0.0425015179113539,95.7498482088646
1709,ice,9,0.043531079165823,95.6468920834177
1711,ice,11,0.0400566457616831,95.99433542383169
1712,ice,12,0.0425101214574898,95.74898785425103
1713,ice,13,0.0390767361814132,96.09232638185868
1714,ice,14,0.0449029126213592,95.50970873786407
1715,ice,15,0.037029542695265,96.2970457304735
1716,ice,16,0.0366248482395791,96.33751517604209
1717,ice,17,0.0339805825242718,96.60194174757282
1718,ice,18,0.0315853411621785,96.84146588378215
1719,ice,19,0.0334008097165991,96.65991902834008
1720,ice,20,0.0453257790368272,95.46742209631728
1710,ice,10,0.0413206400648166,95.86793599351834
1748,ice,48,0.0388663967611336,96.11336032388664
1724,ice,24,0.035808213635444,96.4191786364556
1750,ice,50,0.0336032388663967,96.63967611336032
1776,ice,76,0.0364298724954462,96.35701275045538
1777,ice,77,0.048148897430710005,95.185110256929
1778,ice,78,0.04110143753796311,95.88985624620369
1779,ice,79,0.037022051385798,96.2977948614202
1780,ice,80,0.0437070012140833,95.62929987859167
1781,ice,81,0.04795629299878589,95.20437070012142
1782,ice,82,0.0289649584768077,97.10350415231923
1783,ice,83,0.0327935222672064,96.72064777327935
1784,ice,84,0.031174089068825895,96.88259109311741
1785,ice,85,0.0317813765182186,96.82186234817814
1775,ice,75,0.0333940497874924,96.66059502125076
1786,ice,86,0.0368421052631578,96.31578947368422
1788,ice,88,0.0390451143030548,96.09548856969452
1789,ice,89,0.0408989674023081,95.91010325976919
1790,ice,90,0.0347966821768156,96.52033178231844
1791,ice,91,0.0386796273795058,96.13203726204942
1792,ice,92,0.0315853411621785,96.84146588378215
1793,ice,93,0.0420797086789399,95.79202913210601
1794,ice,94,0.0378542510121457,96.21457489878543
1795,ice,95,0.0364593882924853,96.35406117075146
1796,ice,96,0.0477926285945727,95.22073714054272
1749,ice,49,0.0362128262188954,96.37871737811047
1787,ice,87,0.0360250961343857,96.39749038656143
1774,ice,74,0.0368048533872598,96.31951466127401
1797,ice,97,0.0433198380566801,95.66801619433198
1757,ice,57,0.0348319157553665,96.51680842446335
1751,ice,51,0.0390530149736948,96.09469850263052
1752,ice,52,0.0398866167240332,96.01133832759668
1753,ice,53,0.0384693257744482,96.15306742255518
1754,ice,54,0.0374190938511326,96.25809061488674
1755,ice,55,0.046328140805179,95.3671859194821
1756,ice,56,0.04332860903016799,95.6671390969832
1773,ice,73,0.0388663967611336,96.11336032388664
1758,ice,58,0.0418689320388349,95.81310679611651
1759,ice,59,0.0384381954278778,96.15618045721222
1761,ice,61,0.0299716484406642,97.00283515593358
1760,ice,60,0.0437246963562753,95.62753036437248
1763,ice,63,0.0321797207043108,96.78202792956893
1764,ice,64,0.0340080971659919,96.59919028340082
1765,ice,65,0.0465775617658971,95.34224382341029
1766,ice,66,0.0370595382746051,96.2940461725395
1767,ice,67,0.041472789803762906,95.85272101962371
1768,ice,68,0.0378695828270554,96.21304171729446
1769,ice,69,0.0356275303643724,96.43724696356276
1770,ice,70,0.0483707751467314,95.16292248532686
1771,ice,71,0.0360105199271697,96.39894800728302
1772,ice,72,0.0394577094293808,96.05422905706192
1762,ice,62,0.0390609188423396,96.09390811576604
1632,marine,32,0.1220448575469791,87.79551424530209
1634,marine,34,0.09173570418266311,90.82642958173369
1633,marine,33,0.0943815683104284,90.56184316895715
1631,marine,31,0.09366781306898639,90.63321869310136
1647,marine,47,0.0715585203153426,92.84414796846573
1629,marine,29,0.0863047001620745,91.36952998379255
1628,marine,28,0.0713563776025874,92.86436223974125
1627,marine,27,0.0641310944770382,93.58689055229618
1626,marine,26,0.0619558615104272,93.80441384895728
1630,marine,30,0.0681772203115516,93.18227796884484
1635,marine,35,0.0974919093851132,90.25080906148868
1646,marine,46,0.0709651257096512,92.90348742903488
1637,marine,37,0.0627403359643796,93.72596640356204
1638,marine,38,0.0616909385113268,93.83090614886731
1639,marine,39,0.05803842264914049,94.19615773508595
1640,marine,40,0.04991915925626509,95.00808407437349
1641,marine,41,0.0738716858935438,92.61283141064563
1642,marine,42,0.0571660247314007,94.28339752685993
1643,marine,43,0.1185754755159854,88.14245244840146
1644,marine,44,0.1009304207119741,89.9069579288026
1645,marine,45,0.0692868719611021,93.0713128038898
1625,marine,25,0.0767987065481002,92.32012934518998
1636,marine,36,0.0756319514661274,92.43680485338726
1624,marine,24,0.05883542256368781,94.11645774363122
1612,marine,12,0.053195792880258906,94.68042071197411
1622,marine,22,0.0607533414337788,93.92466585662211
1600,marine,0,0.0733778047301394,92.66221952698606
1601,marine,1,0.0700404858299595,92.99595141700405
1602,marine,2,0.0958543983822042,90.41456016177958
1603,marine,3,0.0897695107157298,91.02304892842702
1604,marine,4,0.09657825470743059,90.34217452925694
1605,marine,5,0.0713708046906591,92.8629195309341
1606,marine,6,0.0749646393210749,92.50353606789251
1607,marine,7,0.0749949464321811,92.50050535678189
1608,marine,8,0.10291144359078039,89.70885564092197
1609,marine,9,0.0489086499595796,95.10913500404205
1610,marine,10,0.0751012145748987,92.48987854251013
1611,marine,11,0.0980352440753494,90.19647559246506
1613,marine,13,0.0661407766990291,93.38592233009709
1614,marine,14,0.0889967637540453,91.10032362459548
1615,marine,15,0.0648878107944208,93.51121892055792
1616,marine,16,0.0712256493506493,92.87743506493507
1617,marine,17,0.0667340748230535,93.32659251769465
